,city,hot,num,level_sum
200,沧州,1.0,94,4
201,河池,1.54,553,13
202,河源,1.8199999999999998,146,4
203,泉州,4.18,652,20
204,泰安,2.54,1490,10
205,泰州,1.0,164,4
206,泸州,0.0,112,2
207,洛阳,14.399999999999997,2240,35
208,济南,9.899999999999999,3124,24
209,济宁,5.319999999999999,490,11
210,济源,2.66,130,4
211,海东地区,7.4399999999999995,323,20
212,海北藏族自治州,2.84,176,24
213,海南,0.0,0,1
214,海南藏族自治州,3.9400000000000004,1238,32
215,海口,3.0999999999999996,2823,22
216,海西蒙古族藏族自治州,9.819999999999999,1234,30
217,淄博,2.84,225,6
218,淡水,0.0,172,2
219,淮南,0.72,268,3
220,淮安,1.44,114,4
221,深圳,9.08,6525,31
222,清远,6.739999999999999,2428,19
223,温州,4.48,552,13
224,渭南,3.8,2497,12
225,湖州,4.6,2118,12
226,湘潭,4.0200000000000005,428,9
227,湘西,7.340000000000001,1267,28
228,湛江,0.0,58,2
229,滁州,4.68,607,11
230,滨州,1.0,146,3
231,漯河,1.0,26,2
232,漳州,7.240000000000001,2172,25
233,潍坊,5.72,651,19
234,潮州,0.82,82,4
235,澄迈,0.0,142,2
236,澳门,46.76000000000002,5997,188
237,濮阳,0.0,4,1
238,烟台,7.680000000000001,2157,20
239,焦作,5.279999999999999,849,9
240,牡丹江,4.760000000000001,761,16
241,玉林,3.46,329,8
242,玉树藏族自治州,6.08,0,13
243,玉溪,2.5,120,4
244,珠海,7.180000000000001,5124,17
245,琼中,0.0,34,1
246,琼海,5.380000000000001,787,15
247,甘南,4.68,246,9
248,甘孜州,1.9,4077,8
249,白城,1.98,46,5
250,白山,1.7,754,25
251,白银,2.44,102,4
252,百色,4.96,265,8
253,盐城,0.0,257,4
254,盘锦,0.7,1090,6
255,眉山,1.0,227,2
256,石嘴山,5.5200000000000005,188,13
257,石家庄,12.34,1714,44
258,石河子,0.0,0,3
259,神农架,3.24,326,5
260,福州,7.4399999999999995,2874,35
261,秦皇岛,13.320000000000002,4283,34
262,红河,4.18,600,12
263,绍兴,4.94,590,11
264,绵阳,4.72,1291,19
265,聊城,0.7,115,3
266,肇庆,2.56,398,5
267,自贡,2.64,350,4
268,舟山,3.12,2130,8
269,芜湖,2.48,4568,10
270,花莲,3.6399999999999997,1389,22
271,苏州,19.239999999999995,10341,59
272,苗栗,0.0,131,2
273,茂名,2.2800000000000002,270,6
274,荆州,3.12,321,8
275,荆门,5.32,431,10
276,莆田,2.62,300,5
277,莱芜,0.0,102,2
278,菏泽,0.0,18,1
279,萍乡,1.0,992,9
280,营口,0.96,310,9
281,葫芦岛,4.22,260,7
282,蚌埠,0.0,114,2
283,衡阳,3.3,778,7
284,衢州,0.8800000000000001,30,1
285,襄阳,3.26,1032,14
286,西双版纳,9.899999999999999,2693,24
287,西宁,17.819999999999997,4095,67
288,西安,24.75999999999999,27298,92
289,许昌,3.44,935,7
290,贵港,1.72,140,2
291,贵阳,11.1,2750,44
292,贺州,3.2,952,6
293,赣州,2.84,4289,23
294,赤峰,8.06,616,21
295,辽阳,0.0,117,3
296,达州,0.0,196,2
297,运城,7.9399999999999995,1075,25
298,连云港,4.18,360,7
299,迪庆,5.86,2014,17
300,通化,3.8,295,12
